fire_station,mean_m_per_s
01,0.53917116159716161
02,1.2488709461194207
03,0.88316401956768986
04,0.95130124448982201
05,0.86546985905871288
06,2.6102458641104955
07,0.57462064109130051
08,0.7447537746186903
09,0.62184936602610996
10,0.64559278586240687
11,0.52822243727872409
12,0.66645847414574322
13,0.82330721988269906
14,0.83936258556261267
15,0.62824332498989099
16,0.69438769019131652
17,0.7087677819937771
18,0.57101971715574074
19,0.69276703521334182
20,0.88276216174715016
21,0.7885848433010767
22,0.67779577600362351
23,0.67757656845082492
24,0.94428886832447856
25,0.54128498425463367
26,0.76992190806525174
28,0.69875415468379509
29,0.75885028765481444
31,0.68237235449461975
32,0.63933200878306529
33,0.66729201394858484
34,0.68229957684718001
35,0.9987562787517037
36,0.77709975286804667
37,0.75105215487728971
38,0.85246980819018614
39,0.64574110454299405
40,0.74921305640186642
41,0.82100798241863893
42,0.8591129175562866
43,0.6109451825897052
44,0.55692035205800161
48,0.66852917573997728
51,0.68724785193891735
