hour,mean_m_per_s
0,0.76384741484406193
1,0.79641052998274109
2,0.73375477309355797
3,1.0673554293536176
4,0.81197544263610422
5,0.79390093965062225
6,0.75958812465420489
7,0.80847934618558215
8,0.9267043525190638
9,0.7731051976922152
10,0.99472712052268331
11,0.74522791862212834
12,0.68148930580766243
13,0.70377434549838824
14,0.69227647514687085
15,0.74845224413122013
16,0.68346179828251608
17,0.69008236916528676
18,0.69781776477558533
19,1.1221959072163745
20,0.71614988219366915
21,0.83988564602362803
22,0.68537162160154974
23,0.75369798736109095
