hour,mean_response_time
0,314.47050136027985
1,347.63439306358384
2,328.08602336650802
3,342.67459035310407
4,348.18014554441851
5,348.10441094360692
6,343.4833104709648
7,347.25165562913907
8,356.41281669150521
9,347.18591235704889
10,327.92938529299118
11,317.58543684904714
12,303.86398328184629
13,307.36488388458832
14,307.43613084350676
15,300.75218312844424
16,307.26034105064218
17,312.11060948081263
18,300.25374075319434
19,292.90083205209368
20,293.14015561902886
21,291.43529799143892
22,305.27870376107563
23,314.03955816361753
