battalion,incidents_num,response_time,incident_txt
Battalion 1,48794,Avg response time 04:48.334,incidents
Battalion 2,87580,Avg response time 04:48.94,incidents
Battalion 3,21662,Avg response time 05:25.884,incidents
Battalion 4,51771,Avg response time 04:50.216,incidents
Battalion 5,40717,Avg response time 04:57:161,incidents
Battalion 6,41578,Avg response time 05:02.925,incidents
Battalion 7,25707,Avg response time 05:44.835,incidents
Battalion 8,16810,Avg response time 05:59.92,incidents
Battalion 9,36776,Avg response time 05:57.634,incidents
Battalion 10,42592,Avg response time 05:43.154,incidents
